Title,Director,Cast,Genre
*Agnipankh*,Sanjeev Puri,"Jimmy Shergill, Rahul Dev, Divya Dutta, Shamita Shetty",
*Aitraaz*,Abbas-Mustan,"Priyanka Chopra, Akshay Kumar, Kareena Kapoor","Drama, Romance, Thriller"
*Asambhav*,Rajiv Rai,"Arjun Rampal, Priyanka Chopra","Mystery, Thriller"
*Banana Brothers*,Girija Shanker,"Johny Lever, Anupam Kher, Gulshan Grover, Gursewak Mann, Seema Rahmani",Comedy
Black Friday,Anurag Kashyap,"Kay Kay Menon, Pavan Malhotra, Aditya Srivastava, Imtiaz Ali, Pratima Kazmi, 
Zakir Hussain","Crime Fiction, Drama, Historical Drama"
*Bardaasht*,E. Jasir,"Bobby Deol, Lara Dutta, Ritesh Deshmukh, Rahul Dev","Action, Drama, Thriller"
*Chameli*,Sudhir Mishra,"Kareena Kapoor, Rahul Bose, Rinke Khanna",Drama
*Chand Bujh Gaya*,Sharique Minhaj,"Faizal Khan, Shama Sikander, Aliza",Romance
*Charas*,Tigmanshu Dhulia,"Jimmy Shergill, Irrfan Khan, Uday Chopra, Hrishita Bhatt, Namrata Shirodkar",Action
*Deewaar*,Milan Luthria,"Amitabh Bachchan, Sanjay Dutt, Akshaye Khanna, Kay Kay Menon, Amrita Rao",Drama
*Dev*,Govind Nihalani,"Amitabh Bachchan, Fardeen Khan, Kareena Kapoor, Rati Agnihotri, Om Puri, Amrish 
Puri",Drama
*Dhoom*,Sanjay Gadhvi,"Abhishek Bachchan, John Abraham, Uday Chopra, Esha Deol, Rimi Sen",Thriller
*Dil Bechara Pyaar Ka Maara*,Omkarnath Mishra,"Vikas Kalantri, Aslam Khan, Divya Palat, Rajpal Yadav, Mallika Kapoor",Comedy
